Counterparty,Protection,Amount(000 s),Rate,Date,(Paid),Value,(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank plc,Buy,17940000,1.0,3/20/16,514399,"(481,385",33014,0000850134,N-CSR,11
"Citibank NA, New York",Buy,18070000,1.0,3/20/16,588626,"(555,211",33415,0000850134,N-CSR,11
Credit Suisse International,Buy,17950000,1.0,3/20/16,471262,"(189,724",281538,0000850134,N-CSR,11
Barclays Bank plc,Sell,18070000,1.0,3/20/16,"(147,333",114546,"(32,787",0000850134,N-CSR,11
Barclays Bank plc,Buy,39475000,5.0,6/20/16,5334608,"(5,658,354","(323,746",0000850134,N-CSR,11
Merrill Lynch International,Buy,40265000,5.0,6/20/16,5433314,"(5,771,593","(338,279",0000850134,N-CSR,11
Credit Suisse International,Sell,19750000,5.0,12/20/15,"(747,483",982103,234620,0000850134,N-CSR,11
"JPMorgan Chase Bank NA,
NY Branch",Sell,19750000,5.0,12/20/15,"(735,139",982103,246964,0000850134,N-CSR,11
"JPMorgan Chase Bank NA,
NY Branch",Sell,23700000,5.0,12/20/15,"(896,979",1178524,281545,0000850134,N-CSR,11
UBS AG,Sell,23700000,5.0,12/20/15,"(899,444",1178524,279080,0000850134,N-CSR,11
Barclays Bank plc,Buy,17950000,1.0,3/20/16,430403,"(420,888",9515,0000850134,N-CSR,11
Barclays Bank plc,Sell,7360000,1.0,3/20/16,33519,"(48,763","(15,244",0000850134,N-CSR,11
Credit Suisse International,Sell,6485000,1.0,6/20/16,44366,"(44,707",(341,0000850134,N-CSR,11
"Morgan Stanley Capital Services, Inc.",Sell,15590000,1.3,3/24/13,"(919,396","(919,396",,0000850134,N-CSR,11
Barclays Bank plc,Sell,15535000,5.0,7/20/11,401620,"(109,427",292193,0000850134,N-CSR,11
Barclays Bank plc,Sell,4670000,1.0,3/20/16,393087,"(351,734",41353,0000850134,N-CSR,11
Barclays Bank plc,Sell,8970000,1.0,6/20/16,723370,"(701,778",21592,0000850134,N-CSR,11
