Counterparty,Notional amount,dates,CIK,Reporting Type,Report Year
Citigroup Global Markets Limited,186200000,11/13/07,0000897996,N-Q,07
"Citigroup
 Global Markets Limited",5568000000,09/15/14,0000897996,N-Q,07
"Credit Suisse
 International",1500000,12/20/11,0000897996,N-Q,07
"Deutsche Bank
 AG",2500000,03/20/12,0000897996,N-Q,07
"Deutsche Bank
 AG",3190000,06/20/16,0000897996,N-Q,07
"Deutsche Bank
 AG",3300000,04/20/17,0000897996,N-Q,07
"Deutsche Bank
 AG",3700000,09/20/17,0000897996,N-Q,07
Merrill Lynch,2000000,07/20/12,0000897996,N-Q,07
