Counterparty,Referenced Obligation,Protection (1),Fixed Rate,Date,Amount,Depreciation,CIK,Reporting Type,Report Year
Lehman Brothers,Dow Jones CDX NA IG9 Index 6,Buy,(0.800,12/20/17,"$13,700,000","($20,847",0000813900,N-CSR,08
Lehman Brothers,Dow Jones ABX NA HE.A Index 6,Sell,0.64,08/25/37,1000000,"(77,100",0000813900,N-CSR,08
