Counterparty,ReferenceEntity,ExpirationDate,PayFixedRate (%),NotionalAmount ($),MarketValue ($),UnamortizedPremium(Paid)Received ($),PeriodicPaymentsReceivable(Payable) ($),UnrealizedAppreciation($),UnrealizedDepreciation($),CIK,Reporting Type,Report Year
Barclays,"Marriott International, Inc.",3/20/2019,1.0,"195,000","(5,368","4,749",(385,"(1,004",,0000773757,N-CSRS,14
Goldman Sachs International,"Textron, Inc.",3/20/2019,1.0,"6,100,000","(25,556","(46,208","(12,031","(83,795",,0000773757,N-CSRS,14
