"Counterparty
",Notional amount,date,CIK,Reporting Type,Report Year
"Deutsche Bank
 AG",1350000,09/20/15,0000944684,N-CSR,11
"Deutsche Bank
 AG",2200000,12/20/15,0000944684,N-CSR,11
"Deutsche Bank
 AG",2400000,12/20/15,0000944684,N-CSR,11
