Reference Entity/Obligation,Buy/Sell Protection,(Pay)/ Receive Fixed Rate (%),Clearinghouse,Termination Date,Notional Amount(2),Fair Value(3),Unrealized Appreciation/ (Depreciation),CIK,Reporting Type,Report Year
"CDX North American High Yield Index Series 26, Version 1",Buy,(5.000,Intercontinental Exchange,06/20/21,"		75,000,000	","(3,849,600","(1,185,433",0000002646,N-Q,16
"CDX North American Investment Grade Index Series 26, Version 1",Buy,(1.000,Intercontinental Exchange,06/20/21,"		125,000,000	","(1,771,625","(416,466",0000002646,N-Q,16
