Notional Amount,Expiration Date,Counterparty,Receive(Pay),Annual Premium,Deliverable On Default,Appreciation(Depreciation),CIK,Reporting Type,Report Year
13000000,9/20/2010,Morgan Stanley Capital Services Inc.,Receive,0.40%,"Credit
  Swap Eagle Creek CDO",2172,0000772129,N-CSRS,05
5000000,3/20/2015,Lehman Brothers,Receive,0.88%,"Credit
  Swap AAA CDO","(114,857",0000772129,N-CSRS,05
