"Counterparty
 ","Reference
 Entity ","Buy/
 Sellb,c ","Pay/Receive
 Fixed Rate ","Expiration
 Date ","Implied
 Credit Spreadd ","Value
e (000s) ","Upfront
 Premium Paid/(Received) (000s) ","Notional
 Amountf (000s) ","Unrealized
 Appreciation/ (Depreciation) (000s) ",CIK,Reporting Type,Report Year
"
Credit Suisse
International
","Federative
 Republic of Brazil 4.250% due 01/07/2025 ","Sell
 ","1.000%
 ","06/20/2021
 ","2.469%
 ","$(13)
 000","$(14)
 000","$ 200
 000","$
1 000",0000793769,N-CSR,17
"
Deutsche Bank
AG
","Federative
 Republic of Brazil 4.250% due 01/07/2025 ","Sell
 ","1.000
 ","06/20/2021
 ","2.469
 ","(6)
 000","(8)
 000","100
 000","2
 000",0000793769,N-CSR,17
"
JP Morgan Chase Bank
NA
","Federative
 Republic of Brazil 4.250% due 01/07/2025 ","Sell
 ","1.000
 ","06/20/2021
 ","2.469
 ","(6)
 000","(7)
 000","100
 000","1
 000",0000793769,N-CSR,17
"
Goldman Sachs
International
","Markit
 CMBX North America AAA Indices ","Sell
 ","0.500
 ","10/17/2057
 ","0.000
 ","(2)
 000","(5)
 000","100
 000","3
 000",0000793769,N-CSR,17
"
Goldman Sachs
International
","Markit
 CMBX North America AAA Indices ","Sell
 ","0.500
 ","09/17/2058
 ","0.000
 ","(3)
 000","(6)
 000","100
 000","3
 000",0000793769,N-CSR,17
"
JP Morgan Chase Bank
NA
","Russian
 Federation 7.500% due 03/31/2030 ","Sell
 ","1.000
 ","06/20/2021
 ","2.035
 ","(4)
 000","(6)
 000","100
 000","2
 000",0000793769,N-CSR,17
"
Barclays Bank
plc
","United
 Mexican States 5.950% due 03/19/2019 ","Sell
 ","1.000
 ","06/20/2021
 ","1.407
 ","(2)
 000","(3)
 000","100
 000","1
 000",0000793769,N-CSR,17
"
Credit Suisse
International
","United
 Mexican States 5.950% due 03/19/2019 ","Sell
 ","1.000
 ","06/20/2021
 ","1.407
 ","(5)
 000","(8)
 000","300
 000","3
 000",0000793769,N-CSR,17
"
HSBC Bank USA
NA
","United
 Mexican States 5.950% due 03/19/2019 ","Sell
 ","1.000
 ","06/20/2021
 ","1.407
 ","(7)
 000","(10)
 000","400
 000","3
 000",0000793769,N-CSR,17
