"Swap Counterparty and Reference
  Obligation",Protection,Amount(000),Fixed Rate,Date,CIK,Reporting Type,Report Year
Goldman Sachs,Sell,65000,3.08,6/20/11,0000741375,N-CSR,07
JPMorgan Chase,Buy,30000,1.18,6/20/14,0000741375,N-CSR,07
JPMorgan Chase,Buy,70000,1.3,6/20/14,0000741375,N-CSR,07
