"
(Issuer) 
	","
Entity 
	","
Fixed Rate 
	","
Date 
	","
Amount(1) 
	","
Value(2) 
	","
Paid/(Received) 
	","
(Depreciation) 
	",CIK,Reporting Type,Report Year
"
Barclays Bank 
	","
CMBX.NA.AJ.1 
	","
        0.84 % 
	","
10/12/2052 
	","
$2,000 
	","
$(1,159) 
	","
$ (1,168) 
	","
$ 9 
	",0000898745,N-CSR,09
"
Morgan Stanley 
	","
CMBX.NA.AJ.1 
	","
0.84 
	","
10/12/2052 
	","
2,000 
	","
(1,159) 
	","
(1,179) 
	","
20 
	",0000898745,N-CSR,09
"
Morgan Stanley 
	","
CMBX.NA.AJ.1 
	","
0.84 
	","
10/12/2052 
	","
2,000 
	","
(1,159) 
	","
(1,155) 
	","
(4) 
	",0000898745,N-CSR,09
"
UBS AG 
	","
CDX.NA.HY.12 
	","
5.00 
	","
06/20/2014 
	","
34,650 
	","
(7,394) 
	","
(9,293) 
	","
1,899 
	",0000898745,N-CSR,09
"
UBS AG 
	","
CDX.NA.HY.12 
	","
5.00 
	","
06/20/2014 
	","
49,500 
	","
(10,563) 
	","
(13,276) 
	","
2,713 
	",0000898745,N-CSR,09
"
UBS AG 
	","
CDX.NA.HY.12 
	","
5.00 
	","
06/20/2014 
	","
39,600 
	","
(8,451) 
	","
(11,128) 
	","
2,677 
	",0000898745,N-CSR,09
"
UBS AG 
	","
CDX.NA.HY.12 
	","
5.00 
	","
06/20/2014 
	","
19,800 
	","
(4,225) 
	","
(4,756) 
	","
531 
	",0000898745,N-CSR,09
