Reference Entity,Counterparty,Notional Amount,Fixed Rate,Date,CIK,Reporting Type,Report Year
CDX Emerging Markets Index,Barclays,19600,(1.000,12/20/21,0000351601,N-CSR,17
CDX NA High Yield Index,Morgan Stanley,41000,5,12/20/21,0000351601,N-CSR,17
