Reference Entity,Counterparty,Notional Amount,Fixed Rate,Date,CIK,Reporting Type,Report Year
CDX Emerging Markets Index,Bank of America,62700,(1.000,12/20/21,0000351601,N-CSR,17
CDX NA High Yield Index,Bank of America,154600,5,12/20/21,0000351601,N-CSR,17
