Counterparty,"Swap Referenced
      Obligation","Notional
      Value",Payments,Date,(Depreciation),CIK,Reporting Type,Report Year
GSC,CDX.N.A.HY.20,"23,500,000",5.00%,6/20/18,"598,527",0000357059,N-CSR,13
JPMC,CDX.N.A.HY.20,"41,500,000",5.00%,6/20/18,"476,324",0000357059,N-CSR,13
MSC,CDX.N.A.HY.20,"19,000,000",5.00%,6/20/18,"364,255",0000357059,N-CSR,13
