NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"17,000,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(916,150","1,643,750","727,600",0000927972,N-Q,12
"2,500,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(55,500","162,500","107,000",0000927972,N-Q,12
"5,100,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(89,845","308,125","218,280",0000927972,N-Q,12
"4,175,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(19,622","198,312","178,690",0000927972,N-Q,12
"7,700,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(74,711","404,271","329,560",0000927972,N-Q,12
"8,825,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(129,752","507,462","377,710",0000927972,N-Q,12
"19,690,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(584,848","1,427,580","842,732",0000927972,N-Q,12
"8,500,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(61,224","425,024","363,800",0000927972,N-Q,12
"9,300,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(113,486","511,526","398,040",0000927972,N-Q,12
"1,125,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","18,268",-,"18,268",0000927972,N-Q,12
"20,000,000",12/20/16,Credit Suisse Securities LLC,Buy,(1.000,CDX.NA.IG.17,"(450,181","477,773","27,592",0000927972,N-Q,12
"3,325,000",6/20/16,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.16,"(26,770","27,494",724,0000927972,N-Q,12
"440,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(9,768","28,600","18,832",0000927972,N-Q,12
"575,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(2,701","27,312","24,611",0000927972,N-Q,12
"700,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(6,792","36,752","29,960",0000927972,N-Q,12
"770,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(22,871","55,827","32,956",0000927972,N-Q,12
"800,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(11,762","46,002","34,240",0000927972,N-Q,12
"1,250,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(22,021","75,521","53,500",0000927972,N-Q,12
"1,720,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(92,693","166,309","73,616",0000927972,N-Q,12
"2,540,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(75,445","184,157","108,712",0000927972,N-Q,12
"180,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","2,923",-,"2,923",0000927972,N-Q,12
"1,050,000",6/20/16,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.I6,"(8,454","8,682",228,0000927972,N-Q,12
