Reference Entity,Counterparty,Fixed,    Expiration    Date,    Notional    Amount(2),    Market    Value,    Premiums    (Received),"    Unrealized            Appreciation  
          (Depreciation)        ",CIK,Reporting Type,Report Year
"iHeartCommunications, Inc.",JPMorgan Chase Bank N.A.,5%,12/20/16,100,$    (8,    $    (10,$    2,0001589756,N-CSR,15
High-Yield Index,ICE,5%,12/20/19,1500,$114,$    85,$    29,0001589756,N-CSR,15
