Counterparty,Reference Entity/Obligation,Buy/Sell Protection (2),(Pay)/Receive Fixed Rate (%),Termination Date,Notional Amount (4),Market Value (5),"Upfront
  Premium Paid/ (Received)","Unrealized
  Appreciation/(Depreciation)",Unnamed: 9,CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.EM.11 Index,Sell,5,06/20/14,29843000,2966799,2246821,719978,,0000002646,N-Q,09
Barclays Bank PLC,CDX.EM.11 Index,Sell,5,06/20/14,USD ,29033000,2886275,2196793,689482.0,0000002646,N-Q,09
