SWAPCOUNTERPARTY& REFERENCEOBLIGATION,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),UPFRONTPAYMENTSPAID(RECEIVED),VALUE,CREDITRATING OFREFERENCEOBLIGATION 
"Barclays Bank PLCYum! Brands, Inc.",Buy,$875,1.00,12/20/18,"$(5,496)","$(15,187)","$(20,683)",BBB
"Barclays Bank PLC Quest Diagnostics, Inc.",Buy,795,1.00,3/20/19,"(12,151)","15,258","3,107",BBB+
JPMorgan Chase Bank NA CDX.NA.IG.20,Sell,"1,750",1.00,6/20/18,"24,606","9,666","34,272",NR
JPMorgan Chase Bank NA CDX.NA.IG.20,Sell,360,1.00,6/20/18,"2,828","4,222","7,050",NR
"Morgan Stanley & Co., LLC* CDX.NA.HY.21",Buy,"3,975",5.00,12/20/18,"8,661","(330,305)","(321,644)",NR
"Morgan Stanley & Co., LLC* CDX.NA.IG.21",Sell,875,1.00,12/20/18,"3,487","12,468","15,955",NR
