Counterparty,"
ReferenceEntity","
ExpirationDate","
Pay FixedRate (%)","
NotionalCurrency","
NotionalAmount ($)","
UnrealizedAppreciation ($)","
UnrealizedDepreciation ($)",CIK,Reporting Type,Report Year
Morgan Stanley,"
Markit CDX North America High Yield Index, Series 26",06/20/2021,5.0,"1,370,000","(28,949",,,0001097519,N-CSR,16
Morgan Stanley,"
Markit CDX North America Investment Grade Index, Series 26",06/20/2021,1.0,"12,000,000","(67,254",,,0001097519,N-CSR,16
