Counterparty,"
ReferenceEntity","
ExpirationDate","
Pay FixedRate (%)","
NotionalCurrency","
NotionalAmount","
UnrealizedAppreciation ($)","
UnrealizedDepreciation ($)",CIK,Reporting Type,Report Year
Morgan Stanley,"
Markit CDX North AmericaHigh Yield Index, Series 26",06/20/2021,5.0,"3,289,000","(69,498",,,0001097519,N-CSR,16
Morgan Stanley,"
Markit CDX North America Investment Grade Index, Series 26",06/20/2021,1.0,"7,500,000","(42,034",,,0001097519,N-CSR,16
