SwapCounterparty,Referenced Obligation,Buy/SaleProtection,Receive/PayFixed Rate,ExpirationDate,NotionalAmount,UnrealizedDepreciation,CIK,Reporting Type,Report Year
Morgan Stanley,7.450% 07/16/31,Sale,3.0,06/20/09,"500,000","(9,434",0000773757,N-CSRS,07
Royal Bank of Scotland,6.875% 11/15/12,Sale,1.07,09/20/12,"1,250,000","(86,625",0000773757,N-CSRS,07
