"
Counterparty","
ReferenceEntity","
Buy/Sell","
NotionalAmount(000s omitted)","
Pay/ReceiveAnnualFixedRate","
TerminationDate","
NetUnrealizedAppreciation(Depreciation)",CIK,Reporting Type,Report Year
"
Lehman Brothers, Inc.",Republic of Brazil,"
Buy","
1,057000",1.45,"
7/20/12","
4,062",0001394395,N-CSR,07
"
Lehman Brothers, Inc.","
CDX.EM.8 Index*","
Buy","
2,000000",1.75,"
12/20/12","
(3,610",0001394395,N-CSR,07
