Counterparty (Issuer),Reference Entity,Fixed Rate,Date,Amount,CIK,Reporting Type,Report Year
Bank of America NA,ABX. HE. AAA. 06-2 BP,(0.11)%,05/25/2046,92,0000898745,N-CSR,13
Bank of America NA,Australia & New Zealand Banking,(1.00)%,06/20/2018,100,0000898745,N-CSR,13
Bank of America NA,Carnival Corp; 6.65%; 01/15/2028,(1.00)%,09/20/2017,100,0000898745,N-CSR,13
Bank of America NA,Costco Wholesale Corp; 5.50%;,(1.00)%,03/20/2017,200,0000898745,N-CSR,13
