Counterparty (Issuer),Reference Entity,Fixed Rate ,Date,Amount,CIK,Reporting Type,Report Year
Credit Suisse,Petroleos de,5,06/20/2016,20000,0000898745,N-CSR,16
JPMorgan Chase,Mexico Government,1,06/20/2026,5300,0000898745,N-CSR,16
