Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,"1,150",5.0,06/20/14,(52,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,570,5.0,06/20/14,(25,0000883939,N-Q,09
