Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
"North America High Yield CDX Indices, Series 12",JPMorgan,"16,975",5.0,06/20/14,"2,682",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",JPMorgan,"11,267",5.0,06/20/14,"1,780",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston ,"11,695",5.0,06/20/14,"1,848",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,"16,975",5.0,06/20/14,"2,682",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,"11,781",5.0,06/20/14,"1,861",0000883939,N-Q,09
Barclays 23 MM CDX Indices,Barclays Bank PLC,"12,245",5.0,06/20/14,"1,934",0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,"9,640",5.0,06/20/14,(433,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",JPMorgan,"10,325",5.0,06/20/14,(464,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,"1,155",5.0,06/20/14,(52,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,575,5.0,06/20/14,(26,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,"11,035",5.0,06/20/14,(496,0000883939,N-Q,09
