Underlying Instrument,Counterparty,Amount($),Fixed Rate(%),Date,CIK,Reporting Type,Report Year
"North America High Yield CDX Indices, Series 11",Deutsche Bank,(50,5,12/20/13,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Deutsche Bank,(50,5,12/20/13,0000883939,N-Q,09
