"
SWAP COUNTERPARTY &REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)",CIK,Reporting Type,Report Year
"
Barclays Bank PLCQuest Diagnostics, Inc.",Buy,795,1.0,03/20/19,"(32,140",0000093284,N-CSRS,16
"
Morgan Stanley & Co., LLC*CDX.NA.HY.24",Buy,3218,5.0,6/20/20,76575,0000093284,N-CSRS,16
"
Barclays Bank PLCQuest Diagnostics, Inc.","
Buy","
795",1.0,"
3/20/19","(32,140",0000093284,N-CSRS,16
"
Morgan Stanley & Co., LLC*CDX.NA.HY.24","
Buy","
3,218",5.0,"
6/20/20","
76,575",0000093284,N-CSRS,16
