SWAP COUNTERPARTY & REFERENCE OBLIGATION,BUY/SELL PROTECTION,NOTIONAL AMOUNT(000 S),INTEREST RATE,TERMINATION DATE,APPRECIATION (DEPRECIATION),CIK,Reporting Type,Report Year
Dell Inc.,Buy,365000,0.22,"March 20, 2012",(442,0000716716,N-Q,07
"Covidien
  Ltd.",Buy,53000,0.43,"March 20, 2012",(292,0000716716,N-Q,07
Covidien Ltd.,Buy,130000,0.43,"March 20, 2012",(712,0000716716,N-Q,07
"Tyco
  Electronics Ltd.",Buy,53000,0.43,"March 20, 2012",15,0000716716,N-Q,07
"Tyco
  Electronics Ltd.",Buy,130000,0.43,"March 20, 2012",36,0000716716,N-Q,07
"Tyco
  International Ltd.",Buy,53000,0.43,"March 20, 2012",15,0000716716,N-Q,07
"Tyco
  International Ltd.",Buy,130000,0.43,"March 20, 2012",36,0000716716,N-Q,07
"Dow Jones
  CDX.NA.IG.HVOL.8",Sell,1400000,0.35,"June 20, 2012",4104,0000716716,N-Q,07
