Underlying Instrument,Counterparty,Amount($),Rate(%),Date,CIK,Reporting Type,Report Year
Bank of America Corp.,Morgan Stanley,2330,1,12/20/15,0000883939,N-Q,11
Capital One Financial Corp.,Morgan Stanley,2135,1,12/20/15,0000883939,N-Q,11
"Citigroup, Inc.",Credit Suisse First Boston,2330,1,12/20/15,0000883939,N-Q,11
"Emerging Markets CDX Indices, Series 14",Barclays Bank PLC,668,1,12/20/15,0000883939,N-Q,11
"Emerging Markets CDX indices, Series 14",JPMorgan,426,1,12/20/15,0000883939,N-Q,11
Federative Republic of Brazil,Morgan Stanley,961,1,09/20/15,0000883939,N-Q,11
Wells Fargo & Co.,Morgan Stanley,2330,1,12/20/15,0000883939,N-Q,11
Whirlpool Corp.,Barclays Bank PLC,2130,1,12/20/15,0000883939,N-Q,11
Ryder System Inc.,JPMorgan,2135,1,12/20/15,0000883939,N-Q,11
