Reference Entity,Counterparty,Notional Amount,Fixed Rate,Date,CIK,Reporting Type,Report Year
CDX Emerging Markets Index,Barclays,3700,(1.000,12/20/21,0000824036,N-CSR,17
CDX NA High Yield Index,Morgan Stanley,2800,5,12/20/21,0000824036,N-CSR,17
