Counterparty,Notional amount,Termination dates,by the Fund,Fund,"
Value",CIK,Reporting Type,Report Year
"Deutsche Bank
 AG","2,110,000",06/20/16, (1),3.0600%,"65,720",0000880943,N-Q,07
"Goldman Sachs
 International","1,750,000",09/20/08, (2),6.0000,"24,800",0000880943,N-Q,07
