Counterparty,Reference Entity,Buy/Sell,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation,CIK,Reporting Type,Report Year
HSBC Bank USA,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,2.77,06/20/2007,500,,0001047304,N-Q,06
JPMorgan Chase & Co.,"Russia Government International Bond, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,0.77,05/20/2007,200,,0001047304,N-Q,06
JPMorgan Chase & Co.,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,4.6,06/20/2007,500,12.0,0001047304,N-Q,06
"Lehman Brothers, Inc.","Russia Government International Bond, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,0.61,03/20/2007,"3,000",,0001047304,N-Q,06
"Lehman Brothers, Inc.","Russia Government International Bond, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,0.87,04/20/2007,600,,0001047304,N-Q,06
