Counterparty ,Reference  Obligation ,Notional  Amount ,Fixed Rate ,Maturity Date ,CIK,Reporting Type,Report Year
Citibank N.A. ,CMBX.NA.AAA.4 ,"$4,000,000 ",0.350% ,Feb 2051 ,0001331971,N-CSRS,11
Citibank N.A. ,CMBX NA AM S ,5000000,0.500% ,Feb 2051 ,0001331971,N-CSRS,11
Citibank N.A. ,CMBX NA AM 4 ,2000000,0.500% ,Feb 2051 ,0001331971,N-CSRS,11
Citibank N.A. ,CDX.NA.HY.15 ,45700000,5.000% ,Dec 2015 ,0001331971,N-CSRS,11
