"
Reference Entity ","
Date ","
Counterparty1 ","
Amount($000) ","
Paid ","
Depreciation($000) ",CIK,Reporting Type,Report Year
"
XL Capital Ltd. ","
3/20/12 ","
GS ","
19,230 000","
5.000% ","
(772) 000",0000105563,N-CSR,09
"
XL Capital Ltd. ","
3/20/12 ","
GS ","
11,945 000","
5.000% ","
(361) 000",0000105563,N-CSR,09
