Counterparty,Reference Entity,Buy/Sell Protection,(Pay)/Receive Fixed Rate,Expiration Date,Notional Amount,Appreciation/(Depreciation),CIK,Reporting Type,Report Year
Bear Steans,"Rohm &
  Haas",Buy,0.31,9/20/12,400,0,0000802716,N-Q,07
Bear Stearns,VF Corp.,Buy,0.42,9/20/12,600,(1,0000802716,N-Q,07
Bear Stearns,Nucor,Buy,0.46,9/20/17,600,,0000802716,N-Q,07
