"Swap
 Counterparty","Fund
 Receives","Referenced
 Index","Termination
 Date","Nominal
 Amount","Market
 Value","Upfront
 Payments
 Received**","Unrealized
 Appreciation/ (Depreciation)","Credit Default
 Swap
 Agreements
 Payable at
 Fair Value***",CIK,Reporting Type,Report Year
" 

 "," 

 "," 

 "," 

 "," 

 "," 

 "," 

 "," 

 "," 

 ",0000911507,N-Q,12
"Credit
 Suisse",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"135,000","107,156","26,906",(938),"27,844",0000911507,N-Q,12
"Credit
 Suisse",.35%,"Markit CMBX.
 NA.AAA.4",2/17/2051,"500,000","465,937","40,468","6,405","34,063",0000911507,N-Q,12
"Deutsche
 Bank AG",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"265,000","210,344","52,816","(1,840)","54,656",0000911507,N-Q,12
"Goldman
 Sachs",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"100,000","79,375","18,805","(1,820)","20,625",0000911507,N-Q,12
"Goldman
 Sachs",.08%,"Markit CMBX.
 NA.AAA.3",12/13/2049,"100,000","94,188","7,999","2,187","5,812",0000911507,N-Q,12
J.P. Morgan,.10%,"Markit CMBX.
 NA.AAA.1",10/12/2052,"200,000","194,188","8,439","2,627","5,812",0000911507,N-Q,12
J.P. Morgan,.10%,"Markit CMBX.
 NA.AAA.1",10/12/2052,"650,000","631,109","24,364","5,473","18,891",0000911507,N-Q,12
"Morgan
 Stanley",.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"200,000","158,750","37,120","(4,130)","41,250",0000911507,N-Q,12
"Morgan
 Stanley",.10%,"Markit CMBX.
 NA.AAA.1",10/12/2052,"650,000","631,109","24,192","5,301","18,891",0000911507,N-Q,12
"Morgan
 Stanley",.08%,"Markit CMBX.
 NA.AAA.3",12/13/2049,"500,000","470,937","42,793","13,730","29,063",0000911507,N-Q,12
"Morgan
 Stanley",.08%,"Markit CMBX.
 NA.AAA.3",12/13/2049,"200,000","188,375","19,355","7,730","11,625",0000911507,N-Q,12
UBS AG,.50%,"Markit CMBX.
 NA.AM.4",2/17/2051,"700,000","555,625","150,093","5,718","144,375",0000911507,N-Q,12
UBS AG,.08%,"Markit CMBX.
 NA.AAA.3",12/31/2049,"200,000","188,375","17,116","5,491","11,625",0000911507,N-Q,12
UBS AG,.07%,"Markit CMBX.
 NA.AAA.2",3/15/2049,"300,000","287,813","16,730","4,543","12,187",0000911507,N-Q,12
UBS AG,.07%,"Markit CMBX.
 NA.AAA.2",3/15/2049,"500,000","479,687","27,884","7,571","20,313",0000911507,N-Q,12
UBS AG,.07%,"Markit CMBX.
 NA.AAA.2",3/15/2049,"300,000","287,813","16,730","4,543","12,187",0000911507,N-Q,12
" 

 "," 

 "," 

 "," 

 "," 

 "," 

 ",,,,0000911507,N-Q,12
" 

 "," 

 "," 

 "," 

 "," 

 "," 

 ",,,,0000911507,N-Q,12
