"Swap
  Counterparty and Reference Obligation",Protection,Amount(000),Fixed Rate,Date,CIK,Reporting Type,Report Year
JPMorgan Chase,Buy,625000,1.30%,6/20/14,0000912734,N-Q,07
"Series
  8",Sell,2635000,2.75,6/20/12,0000912734,N-Q,07
