"Underlying
      Instrument",Counterparty,Expiration  Date,Fixed Rate,Notional Amount ,CIK,Reporting Type,Report Year
Federative Republic of Brazil ,Barclays Bank PLC,9/20/16,1.09,350000,0000798290,N-Q,16
Federative Republic of Brazil ,Barclays Bank PLC,6/20/18,3.2,300000,0000798290,N-Q,16
Federative Republic of Brazil ,International,9/20/20,4.66,125000,0000798290,N-Q,16
Republic of Panama,Barclays Bank PLC,12/20/20,4.77,125000,0000798290,N-Q,16
Republic of Panama,Barclays Bank PLC,12/20/20,4.77,130000,0000798290,N-Q,16
Republic of Panama,Barclays Bank PLC,12/20/20,1.89,125000,0000798290,N-Q,16
Republic of Peru,International,9/20/20,1.99,125000,0000798290,N-Q,16
Russian Federation,Barclays Bank PLC,9/20/20,3.21,125000,0000798290,N-Q,16
United Mexican States,International,9/20/20,1.86,225000,0000798290,N-Q,16
