NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"   800,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(14,882","46,002","31,120",0000927972,N-CSR,12
"1,250,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(26,896","75,521","48,625",0000927972,N-CSR,12
"1,720,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(99,401","166,309","66,908",0000927972,N-CSR,12
"2,540,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(85,351","184,157","98,806",0000927972,N-CSR,12
"70,000",3/20/17,Barclays Bank PLC,Buy,(0.250,Kingdom of Sweden,(41,"1,104","1,063",0000927972,N-CSR,12
"180,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","1,221",-,"1,221",0000927972,N-CSR,12
"90,000",3/20/17,Goldman Sachs & Co.,Buy,(1.000,UK Treasury Bond,(73,"(1,531","(1,604",0000927972,N-CSR,12
"1,050,000",6/20/17,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.18,"(3,889","1,484","(2,405",0000927972,N-CSR,12
"300,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(5,581","17,251","11,670",0000927972,N-CSR,12
"655,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(22,010","47,489","25,479",0000927972,N-CSR,12
"110,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(3,696","7,975","4,279",0000927972,N-CSR,12
"225,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(2,498","11,251","8,753",0000927972,N-CSR,12
"315,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(5,072","17,326","12,254",0000927972,N-CSR,12
"250,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(3,401","13,126","9,725",0000927972,N-CSR,12
"190,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(11,609","19,000","7,391",0000927972,N-CSR,12
"646,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(37,333","62,462","25,129",0000927972,N-CSR,12
"75,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(1,958","4,875","2,917",0000927972,N-CSR,12
"175,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(3,765","10,573","6,808",0000927972,N-CSR,12
"125,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(1,075","5,938","4,863",0000927972,N-CSR,12
