Counterparty,"Reference
    Entity/Obligation","Buy/Sell
    Protection","(Pay)/
    Receive Fixed Rate (%)","Termination
    Date","Notional
    Amount(2)","Fair
Value(3)","Upfront
    Payments Paid/ (Received)","Unrealized
    Appreciation/ (Depreciation)",CIK,Reporting Type,Report Year
"Citigroup, Inc.",CDX.EM.19 Index,Buy,(5.000,06/20/18,63000000,"(4,667,497","(4,525,101","(142,396",0000002646,N-Q,14
Deutsche Bank AG,CDX.EM.19 Index,Buy,(5.000,06/20/18,12000000,"(889,047","(865,032","(24,015",0000002646,N-Q,14
Deutsche Bank AG,CDX.EM.19 Index,Buy,(5.000,06/20/18,10934000,"(810,070","(773,847","(36,223",0000002646,N-Q,14
HSBC,CDX.EM.19 Index,Buy,(5.000,06/20/18,14447000,"(1,070,339","(1,026,256","(44,083",0000002646,N-Q,14
