Counterparty,Reference Entity,Buy/SellProtection,Pay/ReceiveFixed rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation,CIK,Reporting Type,Report Year
"Bear Stearns & Co., Inc.",United Mexican States 11.500% due 05/15/2026,Sell,0.73,06/20/2005,80,0,0001047304,N-Q,05
"Lehman Brothers, Inc.","Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,1.0,07/28/2005,100,0,0001047304,N-Q,05
