"
Notional Amount","
Expiration Date","
Counterparty","
Receive (Pay)","
Annual Premium","
Deliverable On Default","
MarketValue",CIK,Reporting Type,Report Year
"
13,000,000","
9/20/2010","
Morgan Stanley","
Receive",0.4,"
Eagle Creek CDO","
(761,021",0000772129,N-CSRS,08
"
300,000,000","
12/20/2012","
JP Morgan Chase Bank","
Receive",0.73,"
Reference security within CDX index","
3,553,120",0000772129,N-CSRS,08
"
50,000,000","
12/20/2012","
Morgan Stanley","
(Pay)",1.93,"
Reference security within CDX index","
(463,748",0000772129,N-CSRS,08
"
100,000,000","
12/20/2012","
Morgan Stanley","
(Pay)",1.2,"
Reference security within CDX Index","
(1,404,298",0000772129,N-CSRS,08
"
500,000,000","
12/20/2012","
Morgan Stanley","
Receive",0.7,"
Reference security within CDX Index","
5,297,877",0000772129,N-CSRS,08
"
500,000,000","
12/20/2012","
Morgan Stanley","
Receive",0.71,"
Reference security within CDX Index","
5,505,874",0000772129,N-CSRS,08
"
400,000,000","
12/20/2012","
Morgan Stanley","
Receive",0.71,"
Reference security within CDX index","
4,404,699",0000772129,N-CSRS,08
"
300,000,000","
12/20/2012","
Morgan Stanley","
Receive",0.72,"
Reference security within CDX index","
3,365,923",0000772129,N-CSRS,08
"
200,000,000","
12/20/2012","
Morgan Stanley","
Receive",0.75,"
Reference security within CDX index","
2,535,144",0000772129,N-CSRS,08
"
7,000,000","
3/20/2013","
Morgan Stanley","
Receive",0.25,"
MS Synthetic 2006-1","
(957,864",0000772129,N-CSRS,08
"
5,000,000","
3/20/2015","
Lehman Brothers","
Receive",0.88,"
AAA CDO","
(1,429,444",0000772129,N-CSRS,08
