"
Notional Amount","
Expiration Date","
Counterparty","
Receive (Pay)","
Annual Premium","
Deliverable On Default","
Market Value",CIK,Reporting Type,Report Year
"
60,000,000","
9/20/2010","
Morgan Stanley","
Receive",0.4,"
Credit Swap Eagle ","
",0000772129,N-CSRS,08
"
31,000,000","
3/20/2013","
Morgan Stanley","
Receive",0.25,"
MS Synthetic 2006-1","
(4,241,970",0000772129,N-CSRS,08
"
28,000,000","
3/20/2015","
Lehman Brothers","
Receive",0.88,"
Credit Swap AAA CDO","
(8,004,889",0000772129,N-CSRS,08
