Counterparty,SecurityDeliverableon Default,ExpirationDate,"ReceiveFixedRate
",NotionalAmount,"MaximumPotentialAmount ofFuturePayments
bythe MasterPortfolioUnder theContract",Fair Value (a),CIK,Reporting Type,Report Year
JPMorgan Chase Bank N.A.,Capital Corp.,12/20/13,3.25,4000000,4000000,"(577,238",0000893818,N-Q,09
JPMorgan Chase Bank N.A.,SLM Corp.,12/20/13,5.0,900000,900000,"(299,733",0000893818,N-Q,09
