Counterparty,"Reference
  Entity/Obligation",Protection,"Rate
  (%)",Date,"Amount
  (3)","Value
  (4)",(Received),(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.EM.13 Index,Sell,5.0,06/20/15,800000,99358,100536,"(1,178)",0001039001,N-Q,10
"Goldman Sachs
  International",CDX.EM.13 Index,Sell,5.0,06/20/15,200000,24840,25234,(394),0001039001,N-Q,10
"Citibank N.A., New York","CDX.NA.HY.8 Index
  (35-100% Tranche)",Sell,0.401,06/20/12,962940,1517,1517,,0001039001,N-Q,10
Deutsche Bank AG,"CDX.NA.IG.10 Index
  (30-100% Tranche)",Sell,0.53,06/20/13,964499,12577,12577,,0001039001,N-Q,10
Deutsche Bank AG,"CDX.NA.IG.9 (30-100%
  Tranche)",Sell,0.708,12/20/12,2893497,46179,46179,,0001039001,N-Q,10
"Goldman Sachs
  International","CDX.NA.IG.9 Index
  (30-100% Tranche)",Sell,0.5479999999999999,12/20/17,675149,10041,10041,,0001039001,N-Q,10
