Reference Entity,Fixed Rate,Counterparty,Maturity,Amount,(Received),(Depreciation),CIK,Reporting Type,Report Year
Cdx.Na.Hy S25   5Year,5.0,Credit Suisse,12/20/20,"4,000,000","37,447","(150,918",0000908802,N-CSR,16
Cdx.Na.Ig S25   5Year,1.0,Morgan Stanley,12/20/20,"6,845,000","1,694","(56,149",0000908802,N-CSR,16
