Swap Counterparty & Referenced Obligation,Value,Payments,Date,Depreciation,CIK,Reporting Type,Report Year
       Donnelley (R.R.) & Sons 5 yr CDS,85000,5.00%,6/20/14,"(12,012",0000875352,N-Q,10
       MetLife 5 yr CDS,20000,1.00%,12/20/14,(272,0000875352,N-Q,10
