Notional Amount,Date,Description,Appreciation,CIK,Reporting Type,Report Year
"5,000,000",10/15/48,"Agreement with Bear
Sterns and Co.,
dated 11/28/06 to
receive monthly the
notional amount
multiplied by
0.750% and pay in
the event of a
write down, failure
to pay a principal
payment or an
interest shortfall
on WBCMT 2006-C28
J.","35,180",0000851169,N-Q,07
"2,500,000",9/11/42,"Agreement with Bear
Stearns, dated
11/2/05 to receive
monthly the
notional amount
multiplied by
2.100% and pay in
the event of a
write down, failure
to pay a principal
payment or an
interest shortfall
on BSCMS 2005-PWR9
K.","220,022",0000851169,N-Q,07
"5,000,000",10/12/41,"Agreement with
Greenwich Capital
and Co., dated
12/1/06 to receive
monthly the
notional amount
multiplied by
0.750% and pay in
the event of a
write down, failure
to pay a principal
payment or an
interest shortfall
on BSCMS 2006-T24
H.","(123,251",0000851169,N-Q,07
"5,000,000",8/12/41,"Agreement with
Greenwich Capital
and Co., dated
12/1/06 to receive
monthly the
notional amount
multiplied by
0.750% and pay in
the event of a
write down, failure
to pay a principal
payment or an
interest shortfall
on MSC 2006-T23 H.","(110,151",0000851169,N-Q,07
"5,000,000",2/15/39,"Agreement with
Royal Bank of
Scotland, dated
8/11/06 to receive
monthly the
notional amount
multiplied by
1.080% and pay in
the event of a
write down, failure
to pay a principal
payment or an
interest shortfall
on CMSC 2006 C1 K.","120,566",0000851169,N-Q,07
"10,000,000",3/15/49,"Agreement with
Royal Bank of
Scotland, dated
2/28/07 to receive
monthly the
notional amount
multiplied by
0.870% and pay in
the event of a
write down, failure
to pay a principal
payment or an
interest shortfall
on CMBX-2006.02.","(421,355",0000851169,N-Q,07
"2,000,000",5/25/46,"Agreement with
Royal Bank of
Scotland, dated
2/27/07 to receive
monthly the
notional amount
multiplied by
2.420% and pay in
the event of a
write down, failure
to pay a principal
payment or an
interest shortfall
on ABX.HE.BBB-
06-2.","(675,024",0000851169,N-Q,07
