Counterparty,Reference Entity,Buy/SellProtection (8),CurrentCreditSpread (9),NotionalAmount,Fixed Rate(Annualized),TerminationDate,Value,UnrealizedAppreciation(Depreciation) (7),CIK,Reporting Type,Report Year
Goldman Sachs,Commonwealth of Puerto Rico,Buy,24.0,"750,000",5.0,9/20/19,"177,190","(1,072",0001020661,N-CSR,15
Goldman Sachs,Commonwealth of Puerto Rico,Buy,25.0,"550,000",5.0,12/20/19,"133,219","(1,793",0001020661,N-CSR,15
