Counterparty,TerminationDate,NotionalAmount(000),FixedRate,Underlying Bond,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
Morgan Stanley & Co.(1),12/20/2008,500000,0.26%,"Allstate Corp,,","(2,161",0001090155,N-CSR,06
Merrill Lynch & Co.(1),12/20/2008,200000,0.32%,"Ingersoll-Rand Co.,",(311,0001090155,N-CSR,06
Morgan Stanley & Co.(1),12/20/2008,300000,0.21%,"Emerson Electric Co.,",(793,0001090155,N-CSR,06
Barclays Bank PLC(1),12/20/2008,400000,0.16%,"Eli Lilly & Co.,","(1,434",0001090155,N-CSR,06
