Reference Entity/Swap Counterparty,Buy/Sell Credit Protection,Notional Amount (000s),Receive Fixed Rate,Termination,CIK,Reporting Type,Report Year
Goldman Sachs International,Buy,4500000,3.0,09/20/16,0000045156,N-CSRS,12
Goldman Sachs International,Buy,50000000,0.25,9/20/15,0000045156,N-CSRS,12
Goldman Sachs International,Buy,25000000,0.25,12/20/16,0000045156,N-CSRS,12
Barclays Bank plc,Buy,24000000,1.0,12/20/15,0000045156,N-CSRS,12
Goldman Sachs International,Buy,4500000,3.0,09/20/16,0000045156,N-CSRS,12
Goldman Sachs International,Buy,50000000,0.25,9/20/15,0000045156,N-CSRS,12
Goldman Sachs International,Buy,25000000,0.25,12/20/16,0000045156,N-CSRS,12
Barclays Bank plc,Buy,24000000,1.0,12/20/15,0000045156,N-CSRS,12
