Counterparty (Issuer),Reference Entity,(Pay)/ ReceiveFixed Rate ,Expiration Date,Notional Amount,CIK,Reporting Type,Report Year
UBS Securities,CDX.NA.HY.17,5,12/20/2016,24250,0000898745,N-CSRS,12
UBS Securities,CDX.NA.HY.17,5,12/20/2016,24250,0000898745,N-CSRS,12
UBS Securities,CDX.NA.HY.17,5,12/20/2016,24250,0000898745,N-CSRS,12
UBS Securities,CDX.NA.HY.17,5,12/20/2016,48500,0000898745,N-CSRS,12
