Fund,Reference entity,Counterparty,"Maturity
 date","Fixed
 payments
 received by
 fund per annum","Implied
 credit
 spread at
 9/30/2012","Notional
 amount","Upfront
 Premium
 Paid (Received","Unrealized
 appreciation
 (depreciation)",CIK,Reporting Type,Report Year
Bond,Federative Republic of Brazil,UBS AG,9/20/22,1,1.49,3500000,"(207,925",57493,0001084380,N-CSR,12
Bond Plus,Federative Republic of Brazil,UBS AG,9/20/22,1,1.49,1000000,"(59,407",16427,0001084380,N-CSR,12
Short-Term Bond,Federative Republic of Brazil,Bank of America,9/20/17,1,1.07,3000000,"(37,626",27713,0001084380,N-CSR,12
