"
Swap Counterparty andReference Obligation","
Buy/SellProtection","
NotionalAmount(000)","
Pay/ReceiveFixed Rate","
TerminationDate","
UpfrontPaymentPaid(Received)(000)",CIK,Reporting Type,Report Year
"
Barclays Bank PLCQuest Diagnostics, Inc.",Buy,250000,1,3/20/19,(9000,0000741375,N-CSR,15
"
Barclays Bank PLCYum! Brands, Inc.",Buy,250000,1,12/20/18,(5000,0000741375,N-CSR,15
