"
Notional amount","Termination
 dates","
Fund","
Fund.1","
(depreciation)",CIK,Reporting Type,Report Year
"145,000,000",12/19/07,5.03,"$(14,113",,0000944684,N-Q,07
"30,600,000",12/08/08,4.921,5.3400,"(300,675",0000944684,N-Q,07
"285,000,000",12/17/08,4.575,"29,765",,0000944684,N-Q,07
"28,000,000",06/13/09,5.3965,"247,134",,0000944684,N-Q,07
"150,000,000",12/16/09,4.69,"(24,906",,0000944684,N-Q,07
"4,700,000",12/08/11,4.853,5.3400,"(31,170",0000944684,N-Q,07
"5,600,000",12/08/16,4.9510000000000005,"16,189",,0000944684,N-Q,07
"6,500,000",06/13/17,5.5575,"(187,788",,0000944684,N-Q,07
