Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
Dow Jones CDX Indices; Series 7,Merrill Lynch,"4,475",0.59,12/20/16,80,0000883939,N-Q,08
Dow Jones CDX Indices; Series 7,Bank of America,"2,220",0.6,6/20/17,96,0000883939,N-Q,08
Dow Jones CDX Indices; Series 7,Credit Suisse First Boston,"1,410",0.65,12/20/16,36,0000883939,N-Q,08
Dow Jones CDX Indices; Series 7,Merrill Lynch,645,0.6,6/20/17,30,0000883939,N-Q,08
North America High Yield Index; Series 8,Merrill Lynch,"9,560",2.75,6/20/12,(287,0000883939,N-Q,08
"Bear Stearns Co., Inc. (The)",Bank of America,(740,1.29,9/20/17,11,0000883939,N-Q,08
Brunswick Corp.,Merrill Lynch,(740,1.15,3/20/17,9,0000883939,N-Q,08
Carnival Corp.,JPMorgan,(645,0.7,9/20/17,(2,0000883939,N-Q,08
Centex Corp.,Credit Suisse First Boston,(740,2.65,9/20/17,23,0000883939,N-Q,08
Dow Chemical Co.,Barclays Bank PLC,(740,0.67,9/20/17,(8,0000883939,N-Q,08
Gannett Co.,Citibank N.A.,(740,0.81,6/20/17,15,0000883939,N-Q,08
"Istar Financial, Inc.",Citibank N.A.,(740,0.7,3/20/17,101,0000883939,N-Q,08
"MBIA, Inc.",Credit Suisse First Boston,(705,0.88,9/20/17,136,0000883939,N-Q,08
"MBIA, Inc.",Bank of America,(740,1.35,9/20/17,124,0000883939,N-Q,08
Wells Fargo & Co.,JPMorgan,(740,0.22,6/20/17,22,0000883939,N-Q,08
Weyerhaeuser Co.,Citibank N.A.,(740,1.05,3/20/17,,0000883939,N-Q,08
"Yum Brands, Inc.",Barclays Bank PLC,(740,1.06,9/20/17,(12,0000883939,N-Q,08
