Counterparty,Reference Entity,Buy/Sell Protection,Fixed Rate,Expiration Date,Amount (000),Upfront Payments,Value,CIK,Reporting Type,Report Year
"Bank of
America,
N.A.
","Carnival Corp.
","Buy
",1.57,"03/20/18
",855,0,"(24,160",0000005094,N-Q,10
"Bank of
America,
N.A.
","Toll Brothers,
Inc.
","Buy
",2.9,"03/20/13
",1065,0,"(54,963",0000005094,N-Q,10
"Barclays
Bank PLC
","Whirlpool

Corporation
","Buy
",1.0,"06/20/14
",365,19681,168,0000005094,N-Q,10
"Goldman
Sachs
International
","Sealed Air Corp.
","Buy
",1.08,"03/20/18
",370,0,16414,0000005094,N-Q,10
