Swap Counterparty,Protection,(000s),Fixed Rate,Date,Value,CIK,Reporting Type,Report Year
"Morgan Stanley
Capital Services, Inc.",Buy,1055000,0.7,3/20/17,"(28,646",0000729968,N-CSR,09
"Morgan Stanley
Capital Services, Inc.",Buy,1065000,0.63,3/20/17,"(23,872",0000729968,N-CSR,09
"Morgan Stanley
Capital Services, Inc.",Sell,1055000,1.17,3/20/17,"(21,298",0000729968,N-CSR,09
"Morgan Stanley
Capital Services, Inc.",Sell,1065000,1.1,3/20/17,"(26,182",0000729968,N-CSR,09
