Counterparty ,Reference Obligation ,Spread at 8-31-10 ,Notional Amount ,Fixed Rate,Termination Date,CIK,Reporting Type,Report Year
Financing Inc. ,AMR Corp. ,9.95% ,"$2,000,000 ",5.00% ,Mar 2013 ,0000315554,N-Q,10
"Services, Inc. ",AMR Corp. ,5.42% ,3000000,5.00% ,Sep 2010 ,0000315554,N-Q,10
"Services, Inc. ",AMR Corp. ,5.42% ,3000000,5.00% ,Sep 2010 ,0000315554,N-Q,10
"Services, Inc. ",AMR Corp. ,5.42% ,5000000,5.00% ,Sep 2010 ,0000315554,N-Q,10
"Services, Inc. ",AMR Corp. ,9.22% ,3000000,6.60% ,Sep 2012 ,0000315554,N-Q,10
"Services, Inc. ",LLC ,18.05% ,10000000,4.60% ,Jun 2013 ,0000315554,N-Q,10
"Services, Inc. ",LLC ,18.05% ,5000000,5.85% ,Jun 2013 ,0000315554,N-Q,10
"Services, Inc. ",Inc ,7.12% ,5000000,5.00% ,Sep 2013 ,0000315554,N-Q,10
"Services, Inc. ",Inc ,7.12% ,5000000,5.00% ,Sep 2013 ,0000315554,N-Q,10
