SWAP,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),UPFRONTPAYMENTS,VALUE,CREDITRATING OFREFERENCEOBLIGATION ,CIK,Reporting Type,Report Year
"Barclays BankAlcoa, Inc.",Buy,400,1.0,9/20/18,"(6,479","41,823","35,344",BBB-,0000882381,N-Q,13
JPMorgan ChaseCDX.NA.IG. 20,Sell,180,1.0,6/20/18,255,"2,111","2,366",NR,0000882381,N-Q,13
JPMorgan ChaseCDX.NA.IG. 20,Sell,"2,000",1.0,6/20/18,"15,249","11,047","26,296",NR,0000882381,N-Q,13
JPMorgan ChaseKohl s Corporate,Buy,475,1.0,6/20/18,"(21,937","26,996","5,059",BBB+,0000882381,N-Q,13
