Underlying Instrument,Counterparty,"Amount
($)",Rate(%),Date,Value ($),CIK,Reporting Type,Report Year
"North America High Yield CDX Indices, Series 11",Barclays Bank PLC,(500,5.0,12/20/13,(101,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Barclays Bank PLC,(500,5.0,12/20/13,(100,0000883939,N-Q,09
