Index,ReceiveFixed Rate,Counterparty,Expiration,Credit,Notional,Market,Premiums,Unrealized,CIK,Reporting Type,Report Year
CDX.EM Series 21 Version 1,5.0,Deutsche Bank AG,6/20/19,BBB-,850,"94,991","84,528","10,463",0000844779,N-CSR,15
CDX.EM Series 21 Version 1,5.0,JPMorgan Chase Bank N.A.,6/20/19,BBB-,"1,682","187,037","195,176","(8,139",0000844779,N-CSR,15
