Underlying Instrument,Counterparty,ExpirationDate,"ImpliedCreditSpread atJune 30,2013(n)",NotionalAmount(o),FixedRate,Value,UpfrontPremiumsPaid/(Received),UnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
"CDX North America High Yield Index Swap Agreement with JPMorgan Chase Bank, N.A., Series 20",JPMorgan Chase,6/20/18,4.38,"3,621,148",5.0,"(56,549","(156,803","100,254",0001301708,N-CSRS,13
"CDX North America High Yield Index Swap Agreement with JPMorgan Chase Bank, N.A., Series 20",JPMorgan Chase,6/20/18,4.38,"2,099,126",5.0,"(65,539","(98,611","33,072",0001301708,N-CSRS,13
