CounterParty,Reference Entity,Buy/Sell Protection,Receive Fixed Rate,Expiration Date,Notional Amount,Appreciation/(Depreciation),CIK,Reporting Type,Report Year
JP Morgan Chase Bank,"CDX North
American
High Yield
Index",Buy,5,12/20/13,2376,43,0000049905,N-Q,09
JP Morgan Chase Bank,"CDX North
American
High Yield
Index",Buy,5,12/20/13,1188,(17,0000049905,N-Q,09
